Location,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Mixed Use,Existing Units,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
48 ALPINE ST,260-55,260,55,5600,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3846320116999, -71.137478307500004)"
331 CONCORD AVE,262-123,262,123,4335,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.384596028099899, -71.135216819500002)"
307 FRESH POND PKWY,260-76,260,76,13910,326,Commercial,EATING-ESTBL, ,0, , , , ,"(42.384567319699897, -71.140969642000002)"
126-2 OXFORD ST,151-112,151,112,1820,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.384640617599899, -71.115607217100006)"
126 OXFORD ST,151-118,151,118,313,106,Transportation,RES-LAND-IMP, ,0, , , , ,"(42.3846666154, -71.115979205800002)"
21 WASHINGTON AVE,211-36,211,36,16834,1014,Residential,SINGLE FAM W/AU, ,2, , , , ,"(42.384469064000001, -71.122999668399899)"
20 COPLEY ST,262-110,262,110,4286,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384584625199899, -71.134428866299899)"
28-30 DONNELL ST,229-26,229,26,6000,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.384581179199898, -71.131509229700001)"
341 WALDEN ST,262-97,262,97,5213,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3845975005, -71.133641206799894)"
47 PRENTISS ST,154-133,154,133,3405,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384541343400002, -71.116545556199895)"
81 PRENTISS ST,151-8,151,8,4470,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3845196653999, -71.115137951799895)"
17 BATES ST,209-70,209,70,12872,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.384478150699898, -71.124848028800002)"
6 LINNAEAN ST,175-36,175,36,6680,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.384502872200002, -71.120190997400002)"
219 GROVE ST,266-7,266,7,10080,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.384615438399898, -71.158878944899897)"
123 OXFORD ST,154-130,154,130,6747,112,Residential,>8-UNIT-APT, ,12, , , , ,"(42.384521103200001, -71.116331204199895)"
132 GARDEN ST,229-114,229,114,3501,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.384540999400002, -71.131262859100005)"
1741 MASSACHUSETTS AVE,154-89,154,89,3600,325,Commercial,RETAIL-STORE, ,0, , , , ,"(42.3845750987999, -71.119130129799899)"
121 CHILTON ST,263-5,263,5,3600,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384610342599899, -71.137085143700006)"
126 OXFORD ST PS4,151-119,151,119,313,106,Transportation,RES-LAND-IMP, ,0, , , , ,"(42.384627994799899, -71.115977287000007)"
67 HURON AVE,206-35,206,35,7003,1067,Transportation,RES-COV-PKG, ,0, , , , ,"(42.384527841699899, -71.128813996600002)"
10 SHERMAN ST,206-69,206,69,3885,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384578936899899, -71.129573619799899)"
48 HURON AVE,207-16,207,16,3808,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384548195000001, -71.127836148200004)"
3 PRENTISS ST,154-90,154,90,5917,112,Residential,>8-UNIT-APT, ,9, , , , ,"(42.384556665600002, -71.1188290714)"
346 CONCORD AVE,263-24,263,24,4500,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.384551873900001, -71.136233901300002)"
329 CONCORD AVE,262-122,262,122,4342,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384541534900002, -71.135087634100003)"
40 AVON HILL ST,211-18,211,18,4019,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.384555658099899, -71.123978038000004)"
3 GRAY GDNS E,207-35,207,35,7876,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.38451105, -71.126473364299898)"
17 PRENTISS ST,154-125,154,125,2751,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384530678399898, -71.118196721000004)"
338-340 WALDEN ST,229-96,229,96,6466,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384382706300002, -71.133032139899896)"
77 HURON AVE,206-37,206,37,3745,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.384415811499899, -71.128996692000001)"
19 GRAY GDNS E,207-43,207,43,9525,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3842948112, -71.127330019400006)"
351 WALDEN ST,262-113,262,113,5762,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.3844126195999, -71.133856987300007)"
29 ALPINE ST,260-67,260,67,5040,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.384425493999899, -71.138229773299898)"
275 FRESH POND PKWY,234-178,234,178,93870,330,Commercial,AUTO-SALES, ,0, , , , ,"(42.383777991599899, -71.141606382199896)"
315 CONCORD AVE,262-119,262,119,5454,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.384363560300002, -71.134689190100005)"
113 CHILTON ST,263-134,263,134,2248,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.384437674300003, -71.137224352199894)"
2 GRAY GDNS E,207-67,207,67,16140,1014,Residential,SINGLE FAM W/AU, ,2, , , , ,"(42.384254120100003, -71.126017182400005)"
17 GRAY GDNS E,207-42,207,42,6500,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3843283601, -71.127082423600001)"
19 MADISON ST,227-7,227,7,5365,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.382536227099898, -71.129073567600003)"
29 AVON ST,212-54,212,54,13023,934,Education,Public Schools, ,0, , , ,City NonTax,"(42.3824505754, -71.123248102000005)"
194 APPLETON ST,230-66,230,66,2752,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3825833557, -71.132884680499899)"
35 GRANVILLE RD,233-132,233,132,3336,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.382613441099899, -71.136513925700001)"
12 HOLLY AVE,227-12,227,12,2800,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.382551483299899, -71.129701737000005)"
10-12 WRIGHT ST,174-19,174,19,3300,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.382527040600003, -71.121240390300002)"
11 BOWDOIN ST,174-89,174,89,2750,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3825177298, -71.120815525699896)"
1684 MASSACHUSETTS AVE,174-66,174,66,2362,31,Mixed Use Commercial,MULTIUSE-COM,mixed,2, , , , ,"(42.3825903303999, -71.120005817099894)"
211 LAKEVIEW AVE,234-184,234,184,4800,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.382585548500003, -71.140219185899895)"
34 HUTCHINSON ST,230-113,230,113,3393,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.382545555599897, -71.135013356900004)"
45 STANDISH ST,233-173,233,173,7866,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.382549742099897, -71.138862975099897)"
2 GARDEN TER,227-41,227,41,8407,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3824617699999, -71.127505403599898)"
150 HURON AVE,227-97,227,97,5343,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.382476222000001, -71.130482373600003)"
149 GROVE ST,266-17,266,17,10200,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3825474414, -71.157585193499898)"
47 VASSAL LN,230-96,230,96,3504,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.382535978600004, -71.1353033125)"
239 LEXINGTON AVE,234-139,234,139,7173,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3825509314999, -71.141561306499895)"
37 ROYAL AVE,230-49,230,49,6017,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.382490332800003, -71.1325690611)"
161-165 HURON AVE,230-71,230,71,13538,325,Commercial,RETAIL-STORE, ,0, , , , ,"(42.382412089699898, -71.1315188519999)"
43 CHILTON ST,233-179,233,179,4701,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.382565225, -71.138323116899898)"
44 CHILTON ST,233-95,233,95,5500,111,Residential,4-8-UNIT-APT, ,6, , ,YES, ,"(42.382541470200003, -71.137740734399898)"
244 LEXINGTON AVE,248-57,248,57,3375,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.382559942999897, -71.142201258599897)"
36 GRANVILLE RD,233-145,233,145,3414,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.382552000899899, -71.136087590700001)"
106 FAYERWEATHER ST,233-86,233,86,2870,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.382555909399898, -71.136819003699898)"
9 BOWDOIN ST,174-88,174,88,2750,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3824579566, -71.120767029500001)"
8 HOLLY AVE,227-102,227,102,2936,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.382483905199898, -71.129594937500002)"
103 FAYERWEATHER ST,233-93,233,93,3750,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.382547396100001, -71.137341704999898)"
1682 MASSACHUSETTS AVE,174-30,174,30,3234,326,Commercial,EATING-ESTBL, ,0, , , , ,"(42.382532011000002, -71.120103026199899)"
66 MARTIN ST,174-99,174,99,3071,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.382446775600002, -71.121902273000003)"
60 SACRAMENTO ST,150-127,150,127,3563,111,Residential,4-8-UNIT-APT, ,4, , , , ,"(42.382410513700002, -71.1139532836999)"
220 LAKEVIEW AVE,234-130,234,130,7497,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.382492608699899, -71.140953445700006)"
1675-1679 MASSACHUSETTS AVE,156-68,156,68,11370,111,Mixed Use Residential,MXD 4-8-UNIT-AP,groundfloor,7, , , , ,"(42.3823713492, -71.119302754200007)"
6 SACRAMENTO ST,156-63,156,63,7157,942,Higher Education,Private College, ,0, , , ,Educ NonTax,"(42.382362988200001, -71.119030328600005)"
8 SACRAMENTO ST,156-2,156,2,7830,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.382353436400003, -71.118823030800002)"
10 SACRAMENTO ST,156-70,156,70,7554,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.382345003200001, -71.1186169116)"
12 SACRAMENTO ST,156-71,156,71,6679,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.382336629199898, -71.118430990799894)"
5 ADAMS TER,140-110,140,110,4756,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.375772326499899, -71.109098692700002)"
29 SULLIVAN RD,255-35,255,35,3879,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3760225402999, -71.153561484899896)"
9 CHANNING ST,240-44,240,44,11510,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.375871864700002, -71.135923364299899)"
40 GIBSON ST,221-76,221,76,3006,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3759604936999, -71.132693610000004)"
90 BRATTLE ST,167-3,167,3,10196,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.375801529500002, -71.124791041400002)"
3 IRVING TER,142-135,142,135,1174,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.375873240399898, -71.111238630399896)"
220 BRATTLE ST,246A-46,246A,46,10102,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3758810580999, -71.140894115099897)"
5 KENWAY ST,221-83,221,83,1389,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3759395862999, -71.131791378399896)"
13 ROBERTS RD,140-111,140,111,3875,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.375852215899897, -71.108821108100003)"
IRVING TER,142-134,142,134,1183,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.375862248700003, -71.111151894900004)"
20 BROWN ST,220-75,220,75,2297,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.375899263000001, -71.128823677599897)"
11 MT AUBURN ST,221-91,221,91,27591,9421,Education Residential,Private College Res Units, ,41, ,YES, ,Educ NonTax,"(42.375484692900002, -71.131475558700004)"
1 IRVING TER,142-133,142,133,1702,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.375850660600001, -71.111046009500001)"
62 FOSTER ST,220-105,220,105,3209,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.375854961100003, -71.129964467199898)"
11 TRAILL ST,240-23,240,23,7044,1014,Residential,SINGLE FAM W/AU, ,2, , , , ,"(42.375849908200003, -71.136948510400003)"
6 LONGFELLOW PK,219-47,219,47,8905,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3757908105, -71.126519821000002)"
23 SPARKS ST,221-99,221,99,3548,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.375912778999897, -71.130655075999897)"
98.5 FOSTER ST,221-111,221,111,1110,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3759333255, -71.131082283699897)"
83 BRATTLE ST,170-29,170,29,4486,9421,Education Residential,Private College Res Units, ,31, ,YES, ,Educ NonTax,"(42.375872980399897, -71.123722718300002)"
220R BRATTLE ST,246A-47,246A,47,5009,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3756565248, -71.140912649699899)"
81 BRATTLE ST,170-28,170,28,3987,942,Higher Education,Private College, ,0, , , ,Educ NonTax,"(42.375799181799898, -71.123523003200006)"
17 LEONARD AVE,111-3,111,3,3444,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3758208076, -71.105351696200003)"
224 BRATTLE ST,246A-42,246A,42,4901,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3758742294999, -71.141199180399894)"
22 LONGFELLOW RD,239-35,239,35,4834,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.375879304199898, -71.134278973500003)"
243 BRATTLE ST,250-208,250,208,8572,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.375865288500002, -71.143224303500006)"
21 FOSTER ST,220-89,220,89,2850,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3758573701, -71.128665967499899)"
22-26 SPARKS ST,220-102,220,102,3548,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.375860553899898, -71.130261549899899)"
21 ERICSSON ST,255-47,255,47,4100,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.375964786300003, -71.154431360299895)"
25-31 HOMER AVE,252-169,252,169,11052,112,Residential,>8-UNIT-APT, ,16, , ,YES, ,"(42.375869662500001, -71.147794500800003)"
16 LEONARD AVE,140-50,140,50,3642,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.375779805900002, -71.105812741500003)"
94 FOSTER ST,221-109,221,109,1341,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3759033356, -71.130917190600002)"
226 BRATTLE ST,246A-41,246A,41,3850,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.375854083699899, -71.1414106119)"
28 SULLIVAN RD,255-37,255,37,4100,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.375940853899898, -71.154062371699894)"
38 GIBSON ST,221-77,221,77,12507,112,Residential,>8-UNIT-APT, ,18, , ,YES, ,"(42.375756039999899, -71.132733376299896)"
52 FOSTER ST,220-21,220,21,2399,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.375820366100001, -71.129682609200003)"
277 MT AUBURN ST,239-54,239,54,3993,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.375095310299898, -71.133250947199897)"
53 BELMONT ST,255-78,255,78,3702,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.375180784100003, -71.152283558400001)"
7 GIBSON ST,221-80,221,80,2848,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.375144064700002, -71.132391292400001)"
19 CHANNING ST,240-39,240,39,4919,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3751724137, -71.135567539799894)"
62 BRATTLE ST,167-11,167,11,35034,942,Higher Education,Private College, ,0, , , ,Educ NonTax,"(42.374855586099898, -71.1230102703)"
9 CAMDEN PL,221-45,221,45,2160,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.375171767700003, -71.131250848799894)"
651 MT AUBURN ST,252-147,252,147,5476,332,Commercial,AUTO-REPAIR, ,0, , , , ,"(42.375182595600002, -71.147778532800004)"
7 MAYNARD PL,221-57,221,57,2140,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.375151748699899, -71.132218274300001)"
1613 CAMBRIDGE ST,140-148,140,148,13134,325,Commercial,RETAIL-STORE, ,0, , , , ,"(42.375001809300002, -71.1091544696)"
20 HOLWORTHY ST,254-40,254,40,5521,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.375192910499898, -71.150272021700005)"
4 LEONARD AVE,140-56,140,56,3637,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.375045315199898, -71.105984493600005)"
9 DINSMORE CT,220-34,220,34,2422,101,Residential,SNGL-FAM-RES, ,2, , , , ,"(42.375130505999898, -71.128944132000001)"
13 ASH ST,167-76,167,76,7289,101,Residential,SNGL-FAM-RES, ,2, , , , ,"(42.375058802399899, -71.125085155700006)"
1 LONGFELLOW RD,239-29,239,29,4608,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.375108132900003, -71.134468960199897)"
257 MT AUBURN ST,221-49,221,49,5175,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.375037439499899, -71.131820337500002)"
5 DINSMORE CT,220-33,220,33,1613,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3751255946, -71.1287697896)"
32 HAWTHORN ST,167-46,167,46,6563,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.375040130400002, -71.125939878599894)"
2 LONGFELLOW RD,239-40,239,40,5166,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.375089786499899, -71.134002811000002)"
31 WILLARD ST,220-32,220,32,3080,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.3751124323, -71.1285739648999)"
85-95 PRESCOTT ST,137-35,137,35,18180,112,Residential,>8-UNIT-APT, ,82, , , , ,"(42.3748558927999, -71.113794889199895)"
269 MT AUBURN ST,221-10,221,10,8700,111,Residential,4-8-UNIT-APT, ,4, , , , ,"(42.375051424399899, -71.132822246999893)"
1700 CAMBRIDGE ST,137-39,137,39,145063,934,Education,Public Schools, ,0, , , ,City NonTax,"(42.3744103776, -71.111799055800006)"
3 LEONARD AVE,111-10,111,10,3690,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3749843177999, -71.105541740500001)"
247-249 MT AUBURN ST,221-46,221,46,5400,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.374984544599897, -71.131277720699899)"
10 CAMELIA AVE,111-16,111,16,3690,955,Health,Hospitals & Medical Offic, ,0, , , ,City NonTax,"(42.3749506654, -71.105229437700004)"
6 CAMDEN PL,221-42,221,42,2000,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.375050490500001, -71.131013488299899)"
24 FARWELL PL,169-19,169,19,3924,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.374946991400002, -71.120628205800003)"
12 ASH ST,167-30,167,30,4428,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.374974622400003, -71.1246338272)"
237-239 MT AUBURN ST,221-40,221,40,4000,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.374957748299899, -71.130856387899897)"
10 HOLWORTHY ST,254-86,254,86,6193,340,Office,GEN-OFFICE, ,0, , , , ,"(42.3750467748999, -71.150330455599899)"
1 MT AUBURN ST,221-90,221,90,8000,9421,Education Residential,Private College Res Units, ,10, ,YES, ,Educ NonTax,"(42.374972184900003, -71.131562181500001)"
5 SPARKS ST,221-38,221,38,1702,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.375028262599898, -71.130696464699895)"
261 MT AUBURN ST,221-58,221,58,2960,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.374995190299899, -71.13223979)"
25 BELMONT ST,254-82,254,82,5861,325,Commercial,RETAIL-STORE, ,0, , , , ,"(42.3750469513, -71.1511091827999)"
2 LEONARD AVE,140-57,140,57,3636,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.3749236224999, -71.106013537500004)"
3 ELLSWORTH AVE,139-69,139,69,4803,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.372527172300003, -71.107896651299896)"
66 TREMONT ST,85-2,85,2,4752,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3725005006999, -71.097246287100006)"
340 NORFOLK ST,85-86,85,86,1100,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372556359100003, -71.096437031099896)"
1270 MASSACHUSETTS AVE,160-46,160,46,5228,942,Mixed Use Education,Higher Ed and Comm Mixed,groundfloor,0, , , , ,"(42.372525717400002, -71.1166602861)"
420 BROADWAY,135-118,135,118,5000,930,Government Operations,Government Operations, ,0, , , ,Other NonTax,"(42.372526967799899, -71.109640897999896)"
23 FAYETTE ST,113-10,113,10,16377,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372387664599898, -71.103740430200006)"
7 CARLISLE ST,84-76,84,76,2760,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.372486389499898, -71.097829508800004)"
10 FIFTH ST,22-70,22,70,1550,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372500882700002, -71.082682310600006)"
34-44 WINTER ST,21-24,21,24,2862,112,Residential,>8-UNIT-APT, ,9, , ,YES, ,"(42.372454627899899, -71.081018777300002)"
407A BROADWAY,139-32,139,32,2170,105,Residential,THREE-FM-RES, ,3, , , , ,"(42.372536140599898, -71.108614704199894)"
6 PRESCOTT ST,136-9,136,9,7492,942,Higher Education,Private College, ,0, , , ,Educ NonTax,"(42.372519306400001, -71.113783620600003)"
4 ELLSWORTH AVE,112-97,112,97,15467,112,Residential,>8-UNIT-APT, ,43, , , , ,"(42.3724120145, -71.107301672600002)"
78R WINTER ST,22-118,22,118,1162,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372469326199898, -71.082198135200002)"
59R ELLERY ST,135-85,135,85,6885,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372457889000003, -71.110516805100005)"
83 WINTHROP ST,162-69,162,69,11565,920,Public Open Space,Parklands, ,0, , , ,City NonTax,"(42.372453521600001, -71.120560140699894)"
17 FIFTH ST,22-33,22,33,2310,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372460158099898, -71.083098579899897)"
389 COLUMBIA ST,80-6,80,6,3450,111,Residential,4-8-UNIT-APT, ,6, , , , ,"(42.372471538100001, -71.0950422019)"
17 MAPLE AVE,112-106,112,106,14393,111,Residential,4-8-UNIT-APT, ,5, , ,YES, ,"(42.3723461039, -71.105226974700003)"
112A INMAN ST,110-114,110,114,1427,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3725023772, -71.100860966599896)"
30 WINTER ST,21-25,21,25,2438,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3724300818999, -71.080837145499899)"
109 INMAN ST,114A-74,114A,74,5334,111,Residential,4-8-UNIT-APT, ,5, , ,YES, ,"(42.372457786799899, -71.101546831099895)"
89 ANTRIM ST,114A-23,114A,23,4000,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372476303500001, -71.102514322000005)"
340R NORFOLK ST,85-87,85,87,1497,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.3724957742999, -71.096264874699898)"
980 MEMORIAL DR,165-24,165,24,34690,960,Charitable/Religious,Religious, ,0, , , ,Religious NonTax,"(42.372222327899898, -71.124712595199895)"
71 TREMONT ST,84-29,84,29,1600,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372493721799898, -71.097676243099897)"
5 SEVENTH ST,35-23,35,23,997,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372462317599897, -71.0853983457)"
141 COOLIDGE HILL,242A-100,242A,100,20000,1014,Residential,SINGLE FAM W/AU, ,2, , , , ,"(42.3725001148999, -71.139583356299894)"
100 ANTRIM ST,114A-56,114A,56,4933,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372451055500001, -71.101950265300005)"
338 NORFOLK ST,85-75,85,75,2353,104,Residential,TWO-FAM-RES, ,2, , ,YES, ,"(42.372464471800001, -71.096392933800004)"
186 HAMPSHIRE ST,110-55,110,55,3660,345,Office,RETAIL-OFFIC, ,0, , , , ,"(42.372434951499898, -71.099624003900004)"
135 AMORY ST,110-25,110,25,4350,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.3724433131, -71.100351076600006)"
24 WINTER ST,21-29,21,29,5332,101,Residential,SNGL-FAM-RES, ,1, , , , ,"(42.372318920600001, -71.080689472900005)"
116 WILLOW ST,80-58,80,58,4820,112,Mixed Use Residential,MXD >8-UNIT-APT,groundfloor,17, , , , ,"(42.372390815499898, -71.092106337199894)"
695 CAMBRIDGE ST,36-159,36,159,4889,111,Mixed Use Residential,MXD 4-8-UNIT-AP,groundfloor,4, , , , ,"(42.372340156200003, -71.088065333100005)"
21 LAMBERT ST,35-62,35,62,2000,104,Residential,TWO-FAM-RES, ,2, , , , ,"(42.372431489599897, -71.087018083299895)"
100 GORE ST,23-28,23,28,4000,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.371856982099899, -71.082310859900005)"
44 DANA ST,115-41,115,41,3852,105,Residential,THREE-FM-RES, ,3, , ,YES, ,"(42.3719800890999, -71.108624201799898)"
